osm_element,osm_id,osm_url,obs_ids,obs_url
node,13972906829,https://www.openstreetmap.org/node/13972906829,376173915,https://www.inaturalist.org/observations?verifiable=any&id=376173915
node,13972906828,https://www.openstreetmap.org/node/13972906828,376173702,https://www.inaturalist.org/observations?verifiable=any&id=376173702
node,455984558,https://www.openstreetmap.org/node/455984558,43027643;45477510;80655427;94706589;99791390;162030740;172523828;182615108;188288120;200811082;210436362;216811107;232661782;248860897;255061213;261822242;268926281;295378756;309356714;317294964;320184817;373523274;375484140,"https://www.inaturalist.org/observations?verifiable=any&id=43027643,45477510,80655427,94706589,99791390,162030740,172523828,182615108,188288120,200811082,210436362,216811107,232661782,248860897,255061213,261822242,268926281,295378756,309356714,317294964,320184817,373523274,375484140"
node,2973077923,https://www.openstreetmap.org/node/2973077923,373551236,https://www.inaturalist.org/observations?verifiable=any&id=373551236
node,2431358694,https://www.openstreetmap.org/node/2431358694,373283689,https://www.inaturalist.org/observations?verifiable=any&id=373283689
node,2440092096,https://www.openstreetmap.org/node/2440092096,373283045,https://www.inaturalist.org/observations?verifiable=any&id=373283045
node,2973077922,https://www.openstreetmap.org/node/2973077922,373282552,https://www.inaturalist.org/observations?verifiable=any&id=373282552
node,2973064700,https://www.openstreetmap.org/node/2973064700,373281313,https://www.inaturalist.org/observations?verifiable=any&id=373281313
node,13954674084,https://www.openstreetmap.org/node/13954674084,373269723,https://www.inaturalist.org/observations?verifiable=any&id=373269723
node,13947572699,https://www.openstreetmap.org/node/13947572699,372588046,https://www.inaturalist.org/observations?verifiable=any&id=372588046
node,13947653418,https://www.openstreetmap.org/node/13947653418,372586376,https://www.inaturalist.org/observations?verifiable=any&id=372586376
node,2218474054,https://www.openstreetmap.org/node/2218474054,562444;7391826;9614565;10138363;12985025;15451779;17407746;18150649;18687753;19447950;19698917;23063763;24137107;24963598;26876365;28894521;31665372;34855693;38035673;38036207;40297210;48196415;50655699;53018612;54718542;57195432;57388847;59062656;59417228;59990893;61995634;66684556;67590619;69061400;69619862;73008183;73153935;74182153;77996332;79347450;86498462;95362606;106500554;107044496;107056268;107974928;110498490;111425228;119820642;120088277;120172515;120237212;124735806;127512247;138157052;139828805;141580190;142960017;143802065;151847487;151968605;153276040;154757048;161082419;161704117;162540915;165514210;165891301;166113420;170909121;171687361;185801785;190327901;192217904;193212250;194321806;201957456;203540369;204871862;209165308;209292462;213197191;213531454;215476930;216636733;220897491;229364898;247019246;253287728;254313708;257556064;262469856;268273091;272245458;272347782;278805827;288803366;292378954;296418070;298940974;303215023;303908141;306760122;308736397;323249857;324233448;325516913;326851462;332336090;332812057;332974591;340128833;343712302;347279431;350040355;353179858;357049260;361164545;365700085;369499151;372469183,"https://www.inaturalist.org/observations?verifiable=any&id=562444,7391826,9614565,10138363,12985025,15451779,17407746,18150649,18687753,19447950,19698917,23063763,24137107,24963598,26876365,28894521,31665372,34855693,38035673,38036207,40297210,48196415,50655699,53018612,54718542,57195432,57388847,59062656,59417228,59990893,61995634,66684556,67590619,69061400,69619862,73008183,73153935,74182153,77996332,79347450,86498462,95362606,106500554,107044496,107056268,107974928,110498490,111425228,119820642,120088277,120172515,120237212,124735806,127512247,138157052,139828805,141580190,142960017,143802065,151847487,151968605,153276040,154757048,161082419,161704117,162540915,165514210,165891301,166113420,170909121,171687361,185801785,190327901,192217904,193212250,194321806,201957456,203540369,204871862,209165308,209292462,213197191,213531454,215476930,216636733,220897491,229364898,247019246,253287728,254313708,257556064,262469856,268273091,272245458,272347782,278805827,288803366,292378954,296418070,298940974,303215023,303908141,306760122,308736397,323249857,324233448,325516913,326851462,332336090,332812057,332974591,340128833,343712302,347279431,350040355,353179858,357049260,361164545,365700085,369499151,372469183"
