obs_id,osm_url
327723485,https://www.openstreetmap.org/node/676026140
327440910,https://www.openstreetmap.org/node/353469160
327410142,https://www.openstreetmap.org/node/2025827845
327062695,https://www.openstreetmap.org/node/554797517
326991340,https://www.openstreetmap.org/node/2818215555
326826845,https://www.openstreetmap.org/node/326372977
326821988,https://www.openstreetmap.org/node/5940861986
326520299,https://www.openstreetmap.org/node/1976832593
326467347,https://www.openstreetmap.org/node/10935096569
326164076,https://www.openstreetmap.org/node/13892536456
326084096,https://www.openstreetmap.org/node/13298174157
325644570,https://www.openstreetmap.org/node/9922802696
325588306,https://www.openstreetmap.org/node/10935096569
325478103,https://www.openstreetmap.org/node/13288963807
324236143,https://www.openstreetmap.org/node/11709307205
324230448,https://www.openstreetmap.org/node/7161353478
323609267,https://www.openstreetmap.org/node/353469160
323165559,https://www.openstreetmap.org/node/467730917
322964960,https://www.openstreetmap.org/node/13263187336
322928331,https://www.openstreetmap.org/node/12820904681
322912230,https://www.openstreetmap.org/node/4899233243
321696933,https://www.openstreetmap.org/node/13242968023
321602998,https://www.openstreetmap.org/node/13892536456
321600103,https://www.openstreetmap.org/node/13821554406
321425258,https://www.openstreetmap.org/node/13261473099
321282090,https://www.openstreetmap.org/node/450143062
321102403,https://www.openstreetmap.org/node/554797517
321033299,https://www.openstreetmap.org/node/554797517
321032135,https://www.openstreetmap.org/node/10313642341
320909942,https://www.openstreetmap.org/node/5595234842
320881235,https://www.openstreetmap.org/node/1432266529
320497493,https://www.openstreetmap.org/node/13375808055
320251363,https://www.openstreetmap.org/node/4280957298
320247464,https://www.openstreetmap.org/node/4828759437
320244526,https://www.openstreetmap.org/node/542645471
320227405,https://www.openstreetmap.org/node/13226603132
320184817,https://www.openstreetmap.org/node/455984558
320123233,https://www.openstreetmap.org/node/676026140
319604271,https://www.openstreetmap.org/node/13204238779
319599944,https://www.openstreetmap.org/node/13205401225
319411878,https://www.openstreetmap.org/node/8149329020
319214378,https://www.openstreetmap.org/node/13238853057
319213207,https://www.openstreetmap.org/node/13200287199
319197065,https://www.openstreetmap.org/node/1432266529
318986178,https://www.openstreetmap.org/node/10681581062
318634238,https://www.openstreetmap.org/node/6689054985
318625275,https://www.openstreetmap.org/node/1794962343
318614650,https://www.openstreetmap.org/node/12455541903
318605685,https://www.openstreetmap.org/node/2570232217
318590197,https://www.openstreetmap.org/node/13200366923
318572027,https://www.openstreetmap.org/node/3759160492
318571083,https://www.openstreetmap.org/node/277254245
318383412,https://www.openstreetmap.org/node/11663252482
318382075,https://www.openstreetmap.org/node/2440092192
318381094,https://www.openstreetmap.org/node/13116633085
318371511,https://www.openstreetmap.org/node/8085239362
317922128,https://www.openstreetmap.org/node/10935096569
317510248,https://www.openstreetmap.org/node/12820904681
317450922,https://www.openstreetmap.org/node/5566642127
317294964,https://www.openstreetmap.org/node/455984558
316793749,https://www.openstreetmap.org/node/13174866313
316541239,https://www.openstreetmap.org/node/11411799236
316337232,https://www.openstreetmap.org/node/353469160
315361875,https://www.openstreetmap.org/node/5595234842
315049851,https://www.openstreetmap.org/node/13157602358
315049474,https://www.openstreetmap.org/node/13157602356
315049177,https://www.openstreetmap.org/node/13157602357
314907995,https://www.openstreetmap.org/node/5566642127
314837741,https://www.openstreetmap.org/node/13185262524
