Family,Species name,Europe Category,Europe Endemic,EU27 Category,EU27 Endemic
NOCTUIDAE,Polia malchani,DD,No,,No
NOCTUIDAE,Polia nebulosa,LC,No,LC,No
NOCTUIDAE,Polia richardsoni,NT,No,NT,No
NOCTUIDAE,Polia serratilinea,EN,No,EN,No
NOCTUIDAE,Polia subcontigua,DD,No,,No
NOCTUIDAE,Polia vespertilio,DD,No,,No
NOCTUIDAE,Polia vesperugo,NT,No,NT,No
NOCTUIDAE,Polychrysia esmeralda,DD,No,,No
NOCTUIDAE,Polychrysia moneta,LC,No,LC,No
NOCTUIDAE,Polymixis alaschja,DD,Yes,DD,Yes
NOCTUIDAE,Polymixis ancepsoides,DD,Yes,DD,Yes
NOCTUIDAE,Polymixis aphrodite,DD,Yes,DD,Yes
NOCTUIDAE,Polymixis argillaceago,LC,No,LC,No
NOCTUIDAE,Polymixis aurora,NA,No,NA,No
NOCTUIDAE,Polymixis bacheri,LC,No,LC,No
NOCTUIDAE,Polymixis bischoffii,LC,No,LC,No
NOCTUIDAE,Polymixis culoti,LC,No,LC,No
NOCTUIDAE,Polymixis dubia,LC,Yes,LC,No
NOCTUIDAE,Polymixis flavicincta,NT,No,NT,No
NOCTUIDAE,Polymixis germana,DD,No,DD,No
NOCTUIDAE,Polymixis iatnana,LC,Yes,LC,Yes
NOCTUIDAE,Polymixis latesco,DD,No,,No
NOCTUIDAE,Polymixis leuconota,DD,Yes,DD,Yes
NOCTUIDAE,Polymixis lichenea,LC,No,LC,No
NOCTUIDAE,Polymixis manisadjiani,DD,No,DD,No
NOCTUIDAE,Polymixis polymita,LC,No,LC,No
NOCTUIDAE,Polymixis rufocincta,LC,No,LC,No
NOCTUIDAE,Polymixis serpentina,LC,No,LC,No
NOCTUIDAE,Polymixis sublutea,DD,No,DD,No
NOCTUIDAE,Polymixis trisignata,LC,No,LC,No
NOCTUIDAE,Polymixis xanthomista,LC,No,LC,No
NOCTUIDAE,Polyphaenis sericata,LC,No,LC,No
NOCTUIDAE,Polytela cliens,LC,No,LC,No
NOCTUIDAE,Praestilbia armeniaca,LC,No,LC,No
NOCTUIDAE,Protarchanara abrupta,DD,No,DD,No
NOCTUIDAE,Protarchanara brevilinea,NT,No,NT,No
NOCTUIDAE,Protolampra sobrina,LC,No,LC,No
NOCTUIDAE,Protoschinia scutosa,LC,No,LC,No
NOCTUIDAE,Pseudenargia troodosi,DD,Yes,DD,Yes
NOCTUIDAE,Pseudenargia ulicis,LC,No,LC,No
NOCTUIDAE,Pseudeustrotia candidula,LC,No,LC,No
NOCTUIDAE,Pseudluperina pozzii,CR,No,CR,No
NOCTUIDAE,Pseudohadena armata,DD,No,,No
NOCTUIDAE,Pseudohermonassamelancholica,DD,No,,No
NOCTUIDAE,Pseudozarba bipartita,VU,No,VU,No
NOCTUIDAE,Pyrrhia exprimens,EN,No,EN,No
NOCTUIDAE,Pyrrhia purpura,NT,No,NT,No
NOCTUIDAE,Pyrrhia umbra,LC,No,LC,No
NOCTUIDAE,Raphia hybris,LC,No,LC,No
NOCTUIDAE,Recoropha canteneri,LC,No,LC,No
NOCTUIDAE,Resapamea hedeni,DD,No,,No
NOCTUIDAE,Rhabinopteryx subtilis,NA,No,NA,No
NOCTUIDAE,Rhiza commoda,DD,No,DD,No
NOCTUIDAE,Rhiza minuta,DD,No,,No
NOCTUIDAE,Rhiza schlumbergeri,NA,No,,No
NOCTUIDAE,Rhiza stenoptera,DD,No,,No
NOCTUIDAE,Rhizedra lutosa,LC,No,LC,No
NOCTUIDAE,Rhyacia arenacea,LC,No,LC,No
NOCTUIDAE,Rhyacia caradrinoides,DD,No,,No
NOCTUIDAE,Rhyacia helvetina,VU,No,VU,No
NOCTUIDAE,Rhyacia ledereri,DD,No,,No
NOCTUIDAE,Rhyacia lucipeta,VU,No,VU,No
NOCTUIDAE,Rhyacia nyctymerides,DD,No,DD,No
NOCTUIDAE,Rhyacia quadrangula,LC,No,LC,No
NOCTUIDAE,Rhyacia simulans,LC,No,LC,No
NOCTUIDAE,Rileyiana fovea,LC,No,LC,No
NOCTUIDAE,Rusina apfelbecki,LC,Yes,LC,No
NOCTUIDAE,Rusina ferruginea,LC,No,LC,No
NOCTUIDAE,Saragossa demotica,DD,No,,No
NOCTUIDAE,Saragossa porosa,DD,No,DD,No
NOCTUIDAE,Saragossa seeboldi,DD,No,DD,No
NOCTUIDAE,Saragossa siccanorum,LC,No,DD,No
NOCTUIDAE,Saragossa uralica,DD,Yes,,No
NOCTUIDAE,Schinia cardui,NT,No,NT,No
NOCTUIDAE,Schinia cognata,NT,No,NT,No
NOCTUIDAE,Schinia purpurascens,DD,No,,No
NOCTUIDAE,Scotochrosta pulla,LC,No,LC,No
NOCTUIDAE,Scythocentropus inquinata,NA,No,NA,No
NOCTUIDAE,Scythocentropus misella,DD,No,,No
NOCTUIDAE,Sedina buettneri,NT,No,NT,No
NOCTUIDAE,Senta flammea,LC,No,LC,No
NOCTUIDAE,Sesamia cretica,LC,No,LC,No
NOCTUIDAE,Sesamia nonagrioides,LC,No,LC,No
NOCTUIDAE,Sidemia spilogramma,DD,No,DD,No
NOCTUIDAE,Sideridis dalmae,DD,No,,No
NOCTUIDAE,Sideridis egena,DD,No,,No
NOCTUIDAE,Sideridis implexa,LC,No,LC,No
NOCTUIDAE,Sideridis kitti,EN,No,EN,No
NOCTUIDAE,Sideridis lampra,VU,No,VU,No
NOCTUIDAE,Sideridis reticulata,LC,No,LC,No
NOCTUIDAE,Sideridis rivularis,LC,No,LC,No
NOCTUIDAE,Sideridis turbida,LC,No,NT,No
NOCTUIDAE,Simyra albovenosa,LC,No,LC,No
NOCTUIDAE,Simyra dentinosa,LC,No,LC,No
NOCTUIDAE,Simyra nervosa,LC,No,NT,No
NOCTUIDAE,Spaelotis ravida,NT,No,VU,No
NOCTUIDAE,Spaelotis senna,LC,No,LC,No
NOCTUIDAE,Spaelotis suecica,NT,No,NT,No
NOCTUIDAE,Spodoptera cilium,LC,No,LC,No
NOCTUIDAE,Spodoptera exigua,LC,No,LC,No
NOCTUIDAE,Spodoptera littoralis,LC,No,LC,No
NOCTUIDAE,Standfussiana dalmata,LC,Yes,LC,Yes
NOCTUIDAE,Standfussiana insulicola,DD,Yes,DD,Yes
NOCTUIDAE,Standfussiana lucernea,NT,No,NT,No
NOCTUIDAE,Standfussiana nictymera,DD,No,DD,No
NOCTUIDAE,Standfussiana sturanyi,DD,No,DD,No
NOCTUIDAE,Standfussiana wiskotti,EN,Yes,EN,No
NOCTUIDAE,Staurophora celsia,LC,No,LC,No
NOCTUIDAE,Stenoecia dos,DD,No,DD,No
NOCTUIDAE,Stilbia andalusiaca,LC,No,LC,No
NOCTUIDAE,Stilbia anomala,VU,Yes,VU,No
NOCTUIDAE,Stilbia calberlae,DD,Yes,DD,Yes
NOCTUIDAE,Stilbia faillae,LC,Yes,LC,Yes
NOCTUIDAE,Stilbia philopalis,LC,Yes,LC,Yes
NOCTUIDAE,Stilbina olympica,DD,Yes,DD,Yes
NOCTUIDAE,Sunira circellaris,LC,No,LC,No
NOCTUIDAE,Sympistis funebris,LC,No,NT,No
NOCTUIDAE,Sympistis heliophila,LC,No,LC,No
NOCTUIDAE,Sympistis lapponica,NT,No,NT,No
NOCTUIDAE,Sympistis nigrita,LC,Yes,LC,No
NOCTUIDAE,Sympistis zetterstedtii,NT,No,NT,No
NOCTUIDAE,Syngrapha ain,LC,No,LC,No
NOCTUIDAE,Syngrapha devergens,EN,No,EN,No
NOCTUIDAE,Syngrapha diasema,NT,No,NT,No
NOCTUIDAE,Syngrapha hochenwarthi,NT,No,NT,No
NOCTUIDAE,Syngrapha interrogationis,LC,No,LC,No
NOCTUIDAE,Syngrapha microgamma,LC,Yes,LC,No
NOCTUIDAE,Syngrapha parilis,NT,No,NT,No
NOCTUIDAE,Syngrapha rilaecacuminum,VU,Yes,VU,Yes
NOCTUIDAE,Synthymia fixa,VU,No,VU,No
NOCTUIDAE,Teinoptera lunaki,DD,Yes,DD,No
NOCTUIDAE,Teinoptera oliva,NA,No,NA,No
NOCTUIDAE,Teinoptera olivina,LC,No,LC,No
NOCTUIDAE,Thalerastria diaphora,DD,No,NA,No
NOCTUIDAE,Thalerastria lehmanni,NA,No,NA,No
NOCTUIDAE,Thalpophila matura,LC,No,LC,No
NOCTUIDAE,Thalpophila vitalba,LC,Yes,LC,No
NOCTUIDAE,Tholera cespitis,LC,No,LC,No
NOCTUIDAE,Tholera decimalis,LC,No,LC,No
NOCTUIDAE,Tholera hilaris,DD,No,,No
NOCTUIDAE,Thysanoplusia circumscripta,LC,No,LC,No
NOCTUIDAE,Thysanoplusia daubei,LC,No,LC,No
NOCTUIDAE,Thysanoplusia orichalcea,LC,No,LC,No
NOCTUIDAE,Tiliacea aurago,LC,No,LC,No
NOCTUIDAE,Tiliacea citrago,LC,No,LC,No
NOCTUIDAE,Tiliacea cypreago,LC,No,LC,No
NOCTUIDAE,Tiliacea sulphurago,LC,No,LC,No
NOCTUIDAE,Trachea atriplicis,LC,No,LC,No
NOCTUIDAE,Trichoplusia ni,LC,No,LC,No
NOCTUIDAE,Trichosea ludifica,VU,No,VU,No
NOCTUIDAE,Trigonophora crassicornis,LC,No,LC,No
NOCTUIDAE,Trigonophora flammea,LC,No,LC,No
NOCTUIDAE,Trigonophora haasi,LC,No,LC,No
NOCTUIDAE,Trigonophora jodea,LC,Yes,LC,No
NOCTUIDAE,Tyta luctuosa,LC,No,LC,No
NOCTUIDAE,Ulochlaena hirta,LC,No,LC,No
NOCTUIDAE,Unchelea myodea,NT,No,NT,No
NOCTUIDAE,Valeria jaspidea,LC,Yes,LC,No
NOCTUIDAE,Valeria oleagina,NT,No,NT,No
NOCTUIDAE,Valerietta hreblayi,CR,Yes,CR,Yes
NOCTUIDAE,Valerietta niphopasta,EN,No,EN,No
NOCTUIDAE,Victrix agenjoi,DD,Yes,DD,Yes
NOCTUIDAE,Victrix bogdoana,DD,No,,No
NOCTUIDAE,Victrix surala,DD,Yes,,No
NOCTUIDAE,Victrix umovii,EN,No,EN,No
NOCTUIDAE,Violaphotia molothina,LC,Yes,LC,No
NOCTUIDAE,Vittaplusia vittata,NA,No,NA,No
NOCTUIDAE,Xanthia togata,LC,No,LC,No
NOCTUIDAE,Xestia aequaeva,DD,No,,No
NOCTUIDAE,Xestia agathina,NT,No,NT,No
NOCTUIDAE,Xestia albuncula,DD,No,,No
NOCTUIDAE,Xestia alpicola,NT,No,NT,No
NOCTUIDAE,Xestia ashworthii,LC,No,LC,No
NOCTUIDAE,Xestia atrata,EN,No,EN,No
NOCTUIDAE,Xestia baja,LC,No,LC,No
NOCTUIDAE,Xestia borealis,EN,No,EN,No
NOCTUIDAE,Xestia brunneopicta,DD,No,CR,No
NOCTUIDAE,Xestia castanea,LC,No,LC,No
NOCTUIDAE,Xestia c-nigrum,LC,No,LC,No
NOCTUIDAE,Xestia cohaesa,LC,No,LC,No
NOCTUIDAE,Xestia collina,NT,No,NT,No
NOCTUIDAE,Xestia distensa,VU,No,VU,No
NOCTUIDAE,Xestia ditrapezium,LC,No,LC,No
NOCTUIDAE,Xestia gelida,EN,No,EN,No
NOCTUIDAE,Xestia jordani,LC,Yes,LC,Yes
NOCTUIDAE,Xestia kermesina,LC,No,LC,No
NOCTUIDAE,Xestia kollari,DD,No,,No
NOCTUIDAE,Xestia laetabilis,EN,No,EN,No
NOCTUIDAE,Xestia liquidaria,DD,No,,No
NOCTUIDAE,Xestia lorezi,NT,No,NT,No
NOCTUIDAE,Xestia lyngei,EN,No,EN,No
NOCTUIDAE,Xestia mejiasi,LC,Yes,LC,Yes
NOCTUIDAE,Xestia ochreago,LC,No,LC,No
NOCTUIDAE,Xestia palaestinensis,DD,No,DD,No
NOCTUIDAE,Xestia quieta,VU,No,VU,No
NOCTUIDAE,Xestia rhaetica,NT,No,NT,No
NOCTUIDAE,Xestia sareptana,DD,No,,No
NOCTUIDAE,Xestia sexstrigata,LC,No,LC,No
NOCTUIDAE,Xestia sincera,EN,No,EN,No
NOCTUIDAE,Xestia speciosa,NT,No,NT,No
NOCTUIDAE,Xestia stigmatica,LC,No,LC,No
NOCTUIDAE,Xestia subgrisea,DD,No,,No
NOCTUIDAE,Xestia tecta,NT,No,NT,No
NOCTUIDAE,Xestia thula,DD,No,,No
NOCTUIDAE,Xestia triangulum,LC,No,LC,No
NOCTUIDAE,Xestia trifida,LC,No,LC,No
NOCTUIDAE,Xestia viridescens,LC,Yes,LC,No
NOCTUIDAE,Xestia wockei,NA,No,,No
NOCTUIDAE,Xestia xanthographa,LC,No,LC,No
NOCTUIDAE,Xylena buckwelli,DD,No,DD,No
NOCTUIDAE,Xylena exsoleta,LC,No,LC,No
NOCTUIDAE,Xylena lunifera,DD,No,DD,No
NOCTUIDAE,Xylena solidaginis,LC,No,LC,No
NOCTUIDAE,Xylena vetusta,LC,No,LC,No
NOCTUIDAE,Xylocampa areola,LC,No,LC,No
NOCTUIDAE,Xylocampa hethitica,LC,No,LC,No
NOCTUIDAE,Xylocampa mustapha,LC,No,LC,No
NOCTUIDAE,Xylomoia graminea,LC,No,LC,No
NOCTUIDAE,Xylomoia stangelmaieri,CR,Yes,CR,Yes
NOCTUIDAE,Xylomoia strix,LC,Yes,LC,No
NOLIDAE,Bena bicolorana,LC,No,LC,No
NOLIDAE,Earias albovenosana,LC,No,LC,No
NOLIDAE,Earias clorana,LC,No,LC,No
NOLIDAE,Earias insulana,LC,No,LC,No
NOLIDAE,Earias syriacana,DD,No,DD,No
NOLIDAE,Earias vernana,LC,No,LC,No
NOLIDAE,Garella musculana,NA,No,NA,No
NOLIDAE,Garella nilotica,LC,No,LC,No
NOLIDAE,Meganola albula,LC,No,LC,No
NOLIDAE,Meganola gigantula,DD,No,DD,No
NOLIDAE,Meganola impura,DD,No,DD,No
NOLIDAE,Meganola kolbi,NT,No,NT,No
NOLIDAE,Meganola strigula,LC,No,LC,No
NOLIDAE,Meganola togatulalis,NT,No,NT,No
NOLIDAE,Nola aegyptiaca,DD,No,DD,No
NOLIDAE,Nola aerugula,LC,No,LC,No
NOLIDAE,Nola chlamitulalis,LC,No,LC,No
NOLIDAE,Nola cicatricalis,LC,No,LC,No
NOLIDAE,Nola confusalis,LC,No,LC,No
NOLIDAE,Nola crambiformis,DD,No,,No
NOLIDAE,Nola cristatula,VU,Yes,VU,No
NOLIDAE,Nola cucullatella,LC,No,LC,No
NOLIDAE,Nola dresnayi,LC,Yes,LC,Yes
NOLIDAE,Nola harouni,LC,No,LC,No
NOLIDAE,Nola holsatica,DD,Yes,DD,Yes
NOLIDAE,Nola infantula,LC,No,LC,No
NOLIDAE,Nola karelica,VU,No,VU,No
NOLIDAE,Nola kruegeri,DD,Yes,DD,Yes
NOLIDAE,Nola ronkayorum,NT,No,NT,No
NOLIDAE,Nola squalida,LC,No,LC,No
NOLIDAE,Nola subchlamydula,LC,No,LC,No
NOLIDAE,Nola thymula,LC,No,LC,No
NOLIDAE,Nola tutulella,LC,No,LC,No
NOLIDAE,Nycteola asiatica,LC,No,LC,No
NOLIDAE,Nycteola columbana,LC,No,LC,No
NOLIDAE,Nycteola degenerana,LC,No,LC,No
NOLIDAE,Nycteola eremostola,DD,No,,No
NOLIDAE,Nycteola kuldzhana,DD,No,,No
NOLIDAE,Nycteola revayana,LC,No,LC,No
NOLIDAE,Nycteola siculana,LC,No,LC,No
NOLIDAE,Nycteola svecicus,LC,Yes,LC,No
NOLIDAE,Pardoxia graellsii,LC,No,LC,No
NOLIDAE,Pseudoips prasinana,LC,No,LC,No
NOLIDAE,Xanthodes albago,LC,No,LC,No
NOTODONTIDAE,Cerura delavoiei,LC,No,LC,No
NOTODONTIDAE,Cerura erminea,LC,No,LC,No
NOTODONTIDAE,Cerura iberica,LC,Yes,LC,No
NOTODONTIDAE,Cerura intermedia,DD,No,,No
NOTODONTIDAE,Cerura przewalskii,NA,No,,No
NOTODONTIDAE,Cerura vinula,LC,No,LC,No
NOTODONTIDAE,Clostera anachoreta,LC,No,LC,No
NOTODONTIDAE,Clostera anastomosis,LC,No,LC,No
NOTODONTIDAE,Clostera curtula,LC,No,LC,No
NOTODONTIDAE,Clostera pigra,LC,No,LC,No
NOTODONTIDAE,Dicranura ulmi,LC,No,LC,No
NOTODONTIDAE,Drymonia dodonaea,LC,No,LC,No
NOTODONTIDAE,Drymonia obliterata,LC,No,LC,No
NOTODONTIDAE,Drymonia querna,LC,No,LC,No
NOTODONTIDAE,Drymonia ruficornis,LC,No,LC,No
NOTODONTIDAE,Drymonia velitaris,LC,No,NT,No
NOTODONTIDAE,Furcula adelaideae,DD,Yes,DD,Yes
NOTODONTIDAE,Furcula aeruginosa,DD,No,,No
NOTODONTIDAE,Furcula bicuspis,LC,No,LC,No
NOTODONTIDAE,Furcula bifida,LC,No,LC,No
NOTODONTIDAE,Furcula furcula,LC,No,LC,No
NOTODONTIDAE,Furcula interrupta,DD,No,DD,No
NOTODONTIDAE,Furcula loseri,LC,Yes,LC,Yes
NOTODONTIDAE,Gluphisia crenata,LC,No,LC,No
NOTODONTIDAE,Harpyia milhauseri,LC,No,LC,No
NOTODONTIDAE,Leucodonta bicoloria,LC,No,LC,No
NOTODONTIDAE,Neoharpyia verbasci,LC,Yes,LC,Yes
NOTODONTIDAE,Notodonta dromedarius,LC,No,LC,No
NOTODONTIDAE,Notodonta torva,NT,No,NT,No
NOTODONTIDAE,Notodonta tritophus,LC,No,LC,No
NOTODONTIDAE,Notodonta ziczac,LC,No,LC,No
NOTODONTIDAE,Odontosia carmelita,LC,No,LC,No
NOTODONTIDAE,Odontosia sieversii,LC,No,LC,No
NOTODONTIDAE,Paradrymonia vittata,LC,No,LC,No
NOTODONTIDAE,Peridea anceps,LC,No,LC,No
NOTODONTIDAE,Peridea korbi,DD,No,DD,No
NOTODONTIDAE,Phalera bucephala,LC,No,LC,No
NOTODONTIDAE,Phalera bucephaloides,LC,No,LC,No
NOTODONTIDAE,Pheosia gnoma,LC,No,LC,No
NOTODONTIDAE,Pheosia tremula,LC,No,LC,No
NOTODONTIDAE,Pterostoma palpina,LC,No,LC,No
NOTODONTIDAE,Ptilodon capucina,LC,No,LC,No
NOTODONTIDAE,Ptilodon cucullina,LC,No,LC,No
NOTODONTIDAE,Ptilophora nebrodensis,DD,Yes,DD,Yes
NOTODONTIDAE,Ptilophora plumigera,LC,No,LC,No
NOTODONTIDAE,Ptilophora variabilis,LC,Yes,LC,Yes
NOTODONTIDAE,Pygaera timon,LC,No,LC,No
NOTODONTIDAE,Rhegmatophila alpina,LC,No,LC,No
NOTODONTIDAE,Rhegmatophila ricchelloi,DD,Yes,DD,Yes
NOTODONTIDAE,Spatalia argentina,LC,No,LC,No
NOTODONTIDAE,Stauropus fagi,LC,No,LC,No
NOTODONTIDAE,Thaumetopoea hellenica,DD,Yes,DD,Yes
NOTODONTIDAE,Thaumetopoea herculeana,LC,No,LC,No
NOTODONTIDAE,Thaumetopoea mediterranea,DD,Yes,DD,Yes
NOTODONTIDAE,Thaumetopoea pinivora,LC,No,LC,No
NOTODONTIDAE,Thaumetopoea pityocampa,LC,No,LC,No
NOTODONTIDAE,Thaumetopoea processionea,LC,No,LC,No
NOTODONTIDAE,Thaumetopoea solitaria,LC,No,LC,No
NOTODONTIDAE,Thaumetopoea wilkinsoni,DD,No,DD,No
SATURNIIDAE,Actias isabellae,VU,Yes,VU,No
SATURNIIDAE,Aglia tau,LC,No,LC,No
SATURNIIDAE,Antheraea yamamai,NA,No,NA,No
SATURNIIDAE,Samia cynthia,NA,No,NA,No
SATURNIIDAE,Saturnia caecigena,LC,No,LC,No
SATURNIIDAE,Saturnia josephinae,DD,No,DD,No
SATURNIIDAE,Saturnia pavonia,LC,No,LC,No
SATURNIIDAE,Saturnia pavoniella,LC,Yes,LC,No
SATURNIIDAE,Saturnia pyri,LC,No,LC,No
SATURNIIDAE,Saturnia spini,LC,No,NT,No
SESIIDAE,Bembecia abromeiti,LC,Yes,LC,Yes
SESIIDAE,Bembecia albanensis,LC,No,LC,No
SESIIDAE,Bembecia astragali,LC,No,LC,No
SESIIDAE,Bembecia blanka,LC,Yes,LC,Yes
SESIIDAE,Bembecia crimeana,DD,Yes,,No
SESIIDAE,Bembecia fibigeri,LC,Yes,LC,Yes
SESIIDAE,Bembecia flavida,LC,No,LC,No
SESIIDAE,Bembecia fokidensis,LC,Yes,LC,Yes
SESIIDAE,Bembecia handiensis,LC,No,LC,No
SESIIDAE,Bembecia himmighoffeni,LC,Yes,LC,Yes
SESIIDAE,Bembecia hymenopteriformis,LC,No,LC,No
SESIIDAE,Bembecia iberica,LC,No,LC,No
SESIIDAE,Bembecia ichneumoniformis,LC,No,LC,No
SESIIDAE,Bembecia lomatiaeformis,LC,No,LC,No
SESIIDAE,Bembecia megillaeformis,VU,No,VU,No
SESIIDAE,Bembecia pallasi,DD,No,,No
SESIIDAE,Bembecia pavicevici,LC,Yes,LC,No
SESIIDAE,Bembecia priesneri,NA,No,NA,No
SESIIDAE,Bembecia psoraleae,LC,Yes,LC,Yes
SESIIDAE,Bembecia puella,EN,No,EN,No
SESIIDAE,Bembecia rossica,DD,Yes,,No
SESIIDAE,Bembecia sanguinolenta,DD,No,DD,No
SESIIDAE,Bembecia sareptana,DD,No,,No
SESIIDAE,Bembecia scopigera,LC,No,LC,No
SESIIDAE,Bembecia sirphiformis,LC,No,LC,No
SESIIDAE,Bembecia stiziformis,DD,No,DD,No
SESIIDAE,Bembecia uroceriformis,LC,No,LC,No
SESIIDAE,Bembecia volgensis,DD,Yes,,No
SESIIDAE,Bembecia vulcanica,LC,Yes,LC,Yes
SESIIDAE,Chamaesphecia aerifrons,LC,No,LC,No
SESIIDAE,Chamaesphecia albiventris,DD,No,DD,No
SESIIDAE,Chamaesphecia alysoniformis,LC,No,LC,No
SESIIDAE,Chamaesphecia amygdaloidis,CR,Yes,CR,Yes
SESIIDAE,Chamaesphecia anatolica,LC,No,LC,No
SESIIDAE,Chamaesphecia annellata,LC,No,LC,No
SESIIDAE,Chamaespheciaanthraciformis,LC,No,DD,No
SESIIDAE,Chamaesphecia astatiformis,LC,No,LC,No
SESIIDAE,Chamaesphecia bibioniformis,LC,No,LC,No
SESIIDAE,Chamaesphecia chalciformis,VU,No,VU,No
SESIIDAE,Chamaesphecia crassicornis,LC,No,LC,No
SESIIDAE,Chamaesphecia djakonovi,DD,No,,No
SESIIDAE,Chamaesphecia doleriformis,LC,No,LC,No
SESIIDAE,Chamaesphecia dumonti,LC,No,LC,No
SESIIDAE,Chamaesphecia efetovi,DD,No,DD,No
SESIIDAE,Chamaesphecia empiformis,LC,No,LC,No
SESIIDAE,Chamaesphecia euceraeformis,LC,No,LC,No
SESIIDAE,Chamaesphecia gorbunovi,LC,No,LC,No
SESIIDAE,Chamaesphecia hungarica,VU,Yes,VU,No
SESIIDAE,Chamaesphecialeucopsiformis,LC,No,LC,No
SESIIDAE,Chamaesphecia masariformis,NT,No,NT,No
SESIIDAE,Chamaesphecia maurusia,DD,No,DD,No
SESIIDAE,Chamaesphecia minoica,LC,Yes,LC,Yes
SESIIDAE,Chamaesphecia minor,DD,Yes,DD,Yes
SESIIDAE,Chamaesphecia mysiniformis,LC,No,LC,No
SESIIDAE,Chamaesphecia nigrifrons,LC,No,LC,No
SESIIDAE,Chamaesphecia osmiaeformis,DD,No,DD,No
SESIIDAE,Chamaesphecia oxybeliformis,DD,No,DD,No
SESIIDAE,Chamaesphecia palustris,VU,No,VU,No
SESIIDAE,Chamaesphecia proximata,LC,No,LC,No
SESIIDAE,Chamaesphecia ramburi,DD,Yes,DD,Yes
SESIIDAE,Chamaespheciaschmidtiiformis,LC,No,LC,No
SESIIDAE,Chamaesphecia staudingeri,DD,Yes,DD,Yes
SESIIDAE,Chamaespheciatenthrediniformis,LC,No,LC,No
SESIIDAE,Chamaesphecia thracica,LC,No,LC,No
SESIIDAE,Dipchasphecia lanipes,CR,No,CR,No
SESIIDAE,Eusphecia melanocephala,LC,No,LC,No
SESIIDAE,Eusphecia pimplaeformis,DD,No,DD,No
SESIIDAE,Microsphecia brosiformis,LC,No,LC,No
SESIIDAE,Microsphecia tineiformis,LC,No,LC,No
SESIIDAE,Negotinthia efetovi,LC,Yes,,No
SESIIDAE,Negotinthia hoplisiformis,DD,No,DD,No
SESIIDAE,Negotinthia myrmosaeformis,LC,No,LC,No
SESIIDAE,Paranthrene diaphana,DD,No,DD,No
SESIIDAE,Paranthrene insolitus,LC,No,LC,No
SESIIDAE,Paranthrene tabaniformis,LC,No,LC,No
SESIIDAE,Pennisetia bohemica,LC,Yes,LC,Yes
SESIIDAE,Pennisetia hylaeiformis,LC,No,LC,No
SESIIDAE,Pyropteron affinis,LC,No,LC,No
SESIIDAE,Pyropteron aistleitneri,DD,Yes,DD,Yes
SESIIDAE,Pyropteron chrysidiformis,LC,No,LC,No
SESIIDAE,Pyropteron cirgisa,DD,No,DD,No
SESIIDAE,Pyropteron doryliformis,LC,No,LC,No
SESIIDAE,Pyropteron hispanica,LC,Yes,LC,Yes
SESIIDAE,Pyropteron kautzi,LC,Yes,LC,Yes
SESIIDAE,Pyropteron koschwitzi,LC,Yes,LC,Yes
SESIIDAE,Pyropteron leucomelaena,LC,No,LC,No
SESIIDAE,Pyropteron mannii,DD,No,DD,No
SESIIDAE,Pyropteron meriaeformis,LC,Yes,LC,Yes
SESIIDAE,Pyropteron minianiformis,LC,No,LC,No
SESIIDAE,Pyropteron muscaeformis,LC,No,LC,No
SESIIDAE,Pyropteron triannuliformis,LC,No,LC,No
SESIIDAE,Pyropteron umbrifera,VU,Yes,VU,Yes
SESIIDAE,Sazonia fenusaeformis,NA,No,NA,No
SESIIDAE,Sesia apiformis,LC,No,LC,No
SESIIDAE,Sesia bembeciformis,LC,No,LC,No
SESIIDAE,Synanthedon andrenaeformis,LC,No,LC,No
SESIIDAE,Synanthedon aurivillii,LC,Yes,LC,No
SESIIDAE,Synanthedon cephiformis,LC,No,LC,No
SESIIDAE,Synanthedon codeti,LC,No,LC,No
SESIIDAE,Synanthedon conopiformis,LC,No,LC,No
SESIIDAE,Synanthedon cruciati,DD,Yes,DD,Yes
SESIIDAE,Synanthedon culiciformis,LC,No,LC,No
SESIIDAE,Synanthedon flaviventris,LC,Yes,LC,No
SESIIDAE,Synanthedon formicaeformis,LC,No,LC,No
SESIIDAE,Synanthedon geranii,LC,Yes,LC,Yes
SESIIDAE,Synanthedon loranthi,LC,No,LC,No
SESIIDAE,Synanthedon martjanovi,DD,No,,No
SESIIDAE,Synanthedon melliniformis,LC,No,LC,No
SESIIDAE,Synanthedon mesiaeformis,LC,No,LC,No
SESIIDAE,Synanthedon myopaeformis,LC,No,LC,No
SESIIDAE,Synanthedon polaris,LC,Yes,LC,No
SESIIDAE,Synanthedon scoliaeformis,LC,No,LC,No
SESIIDAE,Synanthedon serica,DD,No,,No
SESIIDAE,Synanthedon soffneri,LC,Yes,LC,No
SESIIDAE,Synanthedon spheciformis,LC,No,LC,No
SESIIDAE,Synanthedon spuleri,LC,No,LC,No
SESIIDAE,Synanthedon stomoxiformis,LC,No,LC,No
SESIIDAE,Synanthedon theryi,LC,No,LC,No
SESIIDAE,Synanthedon tipuliformis,LC,No,LC,No
SESIIDAE,Synanthedon uralensis,DD,No,,No
SESIIDAE,Synanthedon vespiformis,LC,No,LC,No
SESIIDAE,Weismanniola agdistiformis,DD,Yes,,No
SPHINGIDAE,Acherontia atropos,LC,No,LC,No
SPHINGIDAE,Agrius convolvuli,LC,No,LC,No
SPHINGIDAE,Clarina syriaca,NA,No,NA,No
SPHINGIDAE,Daphnis nerii,LC,No,LC,No
SPHINGIDAE,Deilephila elpenor,LC,No,LC,No
